Query,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
vape,60340,60707,1723005,2124891,3.5%,2.86%,6.02,6.38
vape shop,47651,37349,1168321,883954,4.08%,4.23%,3.17,3.71
novo,30640,17053,214976,229269,14.25%,7.44%,4.05,4.76
vape pen,27024,22819,436382,519097,6.19%,4.4%,4.06,4.93
smok,21890,17714,786029,796025,2.78%,2.23%,4.3,4.11
novo 2,10404,5303,140818,178111,7.39%,2.98%,4.33,5.28
smok novo,8867,11186,140694,215857,6.3%,5.18%,5.3,5.43
vapes,8706,5847,293138,286748,2.97%,2.04%,6.48,7.7
vape pens,8600,5540,96649,123874,8.9%,4.47%,3.45,5.36
vape juice,7092,8100,281917,280917,2.52%,2.88%,8.18,7.25
best pod vape,5660,8082,18507,23440,30.58%,34.48%,1.94,2.41
smok novo 2,5624,3218,128990,150517,4.36%,2.14%,6.6,7.34
novo 2 pods,4210,776,24065,14309,17.49%,5.42%,3.22,5.71
vaping.com,3703,4331,4833,5246,76.62%,82.56%,1.1,1
vape store,3598,6201,276315,288136,1.3%,2.15%,7.81,6.16
juul alternative,3374,4590,15057,14217,22.41%,32.29%,1.39,1.33
novo vape,3190,4954,43034,63484,7.41%,7.8%,4.15,3.93
smok novo 2 pods,3097,534,16526,8217,18.74%,6.5%,3.44,6.63
freemax twister,2992,1240,25151,28715,11.9%,4.32%,4.15,5.47
best pod system 2019,2729,3672,8376,12271,32.58%,29.92%,2.21,2.34
suorin air plus,2685,684,56908,68232,4.72%,1%,7.29,8.62
vape price,2559,2470,41653,56027,6.14%,4.41%,6.12,4.53
smok nord,2501,6183,322277,524727,0.78%,1.18%,7.2,6.91
smok vape,2250,3258,189890,213303,1.18%,1.53%,6.36,6.07
vape pods,2239,1623,29982,31086,7.47%,5.22%,4.19,4.35
salt nic vapes,2054,2614,11281,10782,18.21%,24.24%,3.42,3.13
pod vape,1942,1693,83175,139449,2.33%,1.21%,5.24,5.82
best small vape,1939,1599,4613,4423,42.03%,36.15%,1.43,2.07
best pod system,1938,2859,7943,13168,24.4%,21.71%,2.77,3.77
best vape pod,1915,1862,5208,6507,36.77%,28.62%,1.7,3.01
best pod vape 2019,1909,2493,7804,9024,24.46%,27.63%,2.53,2.25
vape mods,1835,2796,96816,94211,1.9%,2.97%,9.9,8.48
best pod system vape,1766,2239,4819,6370,36.65%,35.15%,1.34,2.64
novo smok,1723,2500,26545,29309,6.49%,8.53%,4.72,4.1
voopoo vinci,1651,1181,132059,64561,1.25%,1.83%,7.52,6.97
best pod,1617,1607,6948,7544,23.27%,21.3%,2.32,2.76
best juul alternative,1606,1328,7302,5235,21.99%,25.37%,1.92,3.16
juul alternatives,1551,1200,4327,3671,35.84%,32.69%,1.36,1.31
best vape pod system,1523,1512,4211,5022,36.17%,30.11%,1.62,2.43
vape.com,1471,1372,3381,3549,43.51%,38.66%,2.32,2.13
best refillable pod system,1445,1052,3508,3059,41.19%,34.39%,1.28,3.05
best pod vapes,1442,1672,3972,4105,36.3%,40.73%,1.23,1.86
best pod 2019,1395,1269,5323,5717,26.21%,22.2%,2.06,3.04
best salt nic vapes,1381,2350,5858,5805,23.57%,40.48%,2.06,1.14
vape pod,1307,1186,42265,76918,3.09%,1.54%,4.99,4.78
pod vapes,1303,916,16008,12334,8.14%,7.43%,4.7,4.25
best refillable pod vape,1277,1599,6172,7510,20.69%,21.29%,1.02,2.28
best vape mod,1223,2418,29259,32916,4.18%,7.35%,8.16,6.66
smok v8 stick,1188,1347,8625,10296,13.77%,13.08%,3.71,3.76
vape juice online,1149,673,24913,20176,4.61%,3.34%,6.68,6.94
best pod vape 2020,1142,0,3213,0,35.54%,0%,2.48,0
best refillable pod vape 2019,1112,959,4616,4336,24.09%,22.12%,1.41,1.58
vapes like juul,1102,821,4429,3515,24.88%,23.36%,2.37,2.19
smok slm,1097,648,6717,7914,16.33%,8.19%,3.28,3.32
novo 2 vape,1095,352,10155,10685,10.78%,3.29%,4.24,6.26
voopoo drag nano,1059,381,19892,32891,5.32%,1.16%,5.68,8.68
best vape mod 2020,1014,0,4398,0,23.06%,0%,4.48,0
pod,1010,356,25078,33874,4.03%,1.05%,5.35,6.62
salt nic devices,987,1135,5338,4456,18.49%,25.47%,2.2,1.1
nord vape,978,787,89073,99753,1.1%,0.79%,6.57,6.66
best pod system 2020,957,0,2901,0,32.99%,0%,2.75,0
best small vapes,938,929,2668,2614,35.16%,35.54%,1.65,2.54
best salt nic device,935,1120,3022,2148,30.94%,52.14%,2.11,1.03
pod system vape,926,861,9862,12708,9.39%,6.78%,3.85,4.71
smok morph 219,904,1658,21732,31112,4.16%,5.33%,5.57,4.8
freemax twister 80w,899,563,7064,8693,12.73%,6.48%,4.45,5.22
vape kit,869,1504,31462,33516,2.76%,4.49%,7.12,5.77
